page,review_id,company,review_title,employee_role,employee_history,employeer_pros,employeer_cons,employeer_rating,work_life_balance,culture_values,career_opportunities,compensation_and_benefits,senior_management,diversity_inclusion,review_time
1,empReview_37665191, Deutsche Bank,Great Environment,Current Employee - IT Security Analyst,I have been working at Deutsche Bank full-time for less than a year,Great Place to work. Awesome environment and benefits,Limited opportunity for job advancement,5,NA,NA,NA,NA,NA,NA,NA
1,empReview_37893746, Deutsche Bank,"Strong bank in certain areas, not the bulge bracket it used to be","Current Employee - Vice President, Structured Finance",I have been working at Deutsche Bank full-time,"Entrepreneurial spirit, solid reputation in certain functions like structured finance, management team has turned around the brand and performance in the last few years","Largely divested out of many functions (like equities) so not as much industry influence as in the past, many former employees have left and loyalty is not what it once was",4,4,3,4,3,NA,5,NA
1,empReview_37643751, Deutsche Bank,Quite ok,Current Employee - Regulatory Specialist,I have been working at Deutsche Bank full-time,"Good reputation, lot of stuff to learn",very complex and old systems,4,NA,NA,NA,NA,NA,NA,NA
1,empReview_37624015, Deutsche Bank,"Excellent Training, Always Moving",Current Employee - AML Analyst,I have been working at Deutsche Bank full-time,"Good training opportunity. Deutsche Bank AFC offers excellent training for all experience levels, and welcoming mentoring.","Deutsche Bank is undergoing a heavy amount of scrutiny from regulators. It's not an issue for those who adapt to change well, and one can definitely thrive in it, but just be aware there are growing pains.",5,NA,NA,NA,NA,NA,NA,NA
1,empReview_37595183, Deutsche Bank,"Good People, but rigid and frustrating processes.",Current Employee - IT Director,I have been working at Deutsche Bank full-time for more than 10 years,A lot of art people with a good attitude and ideas.,Some very rigid processes that make change harder than it should be.,4,5,4,4,5,NA,4,NA
1,empReview_37384821, Deutsche Bank,good company,Current Employee - Financial Analyst,I have been working at Deutsche Bank full-time,"good culture, good balance of work and life","low compensation, no annual increase for many years",4,NA,NA,NA,NA,NA,NA,NA
1,empReview_37920497, Deutsche Bank,Morale down but great benefits,Former Employee - Assistant Vice President,I worked at Deutsche Bank full-time for more than 10 years,Great work life balance and benefits,Company morale was extremely down,2,5,1,1,1,NA,5,NA
1,empReview_37228024, Deutsche Bank,Decent company,Current Employee - Assistant Vice President,I have been working at Deutsche Bank full-time for more than 3 years,Global reach and team environment.,A lot of politics and bureaucracy that causes delays.,4,4,3,3,4,NA,3,NA
1,empReview_37241445, Deutsche Bank,Lots of opportunity,Current Employee - Vice President,I have been working at Deutsche Bank full-time,"Entrepreneurial culture
Good people who don't try to undermine / bring others down
Smart workforce","Reputation for being involved in scandals, and being the ""bank of trump"" even though most people at the bank are not supporters. Most of the bad actors have been cleared out, so it's a matter of time for those headlines improve and the reputation to recover.",4,4,4,5,4,NA,4,NA
1,empReview_37245612, Deutsche Bank,Great work environment,Current Employee - Technology Analyst,I have been working at Deutsche Bank full-time,"Good benefits, opportunities, diverse crowd, wfh flexibility","Salary not too competitive, infrastructure for developers can be better",4,NA,NA,NA,NA,NA,NA,NA
