page,review_id,company,review_title,employee_role,employee_history,employeer_pros,employeer_cons,employeer_rating,work_life_balance,culture_values,career_opportunities,compensation_and_benefits,senior_management,diversity_inclusion,review_time
1,empReview_37665191, Deutsche Bank,Great Environment,Current Employee - IT Security Analyst,I have been working at Deutsche Bank full-time for less than a year,Great Place to work. Awesome environment and benefits,Limited opportunity for job advancement,5,NA,NA,NA,NA,NA,NA,2020-10-27T06:51:28Z
1,empReview_37893746, Deutsche Bank,"Strong bank in certain areas, not the bulge bracket it used to be","Current Employee - Vice President, Structured Finance",I have been working at Deutsche Bank full-time,"Entrepreneurial spirit, solid reputation in certain functions like structured finance, management team has turned around the brand and performance in the last few years","Largely divested out of many functions (like equities) so not as much industry influence as in the past, many former employees have left and loyalty is not what it once was",4,4,3,4,3,NA,5,2020-11-02T05:49:45Z
1,empReview_37624015, Deutsche Bank,"Excellent Training, Always Moving",Current Employee - AML Analyst,I have been working at Deutsche Bank full-time,"Good training opportunity. Deutsche Bank AFC offers excellent training for all experience levels, and welcoming mentoring.","Deutsche Bank is undergoing a heavy amount of scrutiny from regulators. It's not an issue for those who adapt to change well, and one can definitely thrive in it, but just be aware there are growing pains.",5,NA,NA,NA,NA,NA,NA,2020-10-26T09:55:59Z
1,empReview_37643751, Deutsche Bank,Quite ok,Current Employee - Regulatory Specialist,I have been working at Deutsche Bank full-time,"Good reputation, lot of stuff to learn",very complex and old systems,4,NA,NA,NA,NA,NA,NA,2020-10-26T17:57:19Z
1,empReview_37595183, Deutsche Bank,"Good People, but rigid and frustrating processes.",Current Employee - IT Director,I have been working at Deutsche Bank full-time for more than 10 years,A lot of art people with a good attitude and ideas.,Some very rigid processes that make change harder than it should be.,4,5,4,4,5,NA,4,2020-10-25T15:40:10Z
1,empReview_37384821, Deutsche Bank,good company,Current Employee - Financial Analyst,I have been working at Deutsche Bank full-time,"good culture, good balance of work and life","low compensation, no annual increase for many years",4,NA,NA,NA,NA,NA,NA,2020-10-20T09:45:52Z
1,empReview_37920497, Deutsche Bank,Morale down but great benefits,Former Employee - Assistant Vice President,I worked at Deutsche Bank full-time for more than 10 years,Great work life balance and benefits,Company morale was extremely down,2,5,1,1,1,NA,5,2020-11-02T17:18:35Z
1,empReview_37228024, Deutsche Bank,Decent company,Current Employee - Assistant Vice President,I have been working at Deutsche Bank full-time for more than 3 years,Global reach and team environment.,A lot of politics and bureaucracy that causes delays.,4,4,3,3,4,NA,3,2020-10-16T07:17:52Z
1,empReview_37241445, Deutsche Bank,Lots of opportunity,Current Employee - Vice President,I have been working at Deutsche Bank full-time,"Entrepreneurial culture
Good people who don't try to undermine / bring others down
Smart workforce","Reputation for being involved in scandals, and being the ""bank of trump"" even though most people at the bank are not supporters. Most of the bad actors have been cleared out, so it's a matter of time for those headlines improve and the reputation to recover.",4,4,4,5,4,NA,4,2020-10-16T12:35:23Z
1,empReview_37245612, Deutsche Bank,Great work environment,Current Employee - Technology Analyst,I have been working at Deutsche Bank full-time,"Good benefits, opportunities, diverse crowd, wfh flexibility","Salary not too competitive, infrastructure for developers can be better",4,NA,NA,NA,NA,NA,NA,2020-10-16T14:36:05Z
2,empReview_37827471, Deutsche Bank,Depends on the team,Current Employee - Analyst,I have been working at Deutsche Bank full-time,can learn a lot if you're on the right team,"lay offs, disorganized management structure and training, the people they hire at 7/10 not qualified nor dedicated",3,1,1,1,3,NA,2,2020-10-30T13:16:12Z
2,empReview_37159714, Deutsche Bank,Deutsche Bank- India,Former Employee - Business Analyst,I worked at Deutsche Bank full-time,"Great place to work, good work life balance",Recent top management changes and re-structuring brought negative press and brief period of un-stability,4,NA,NA,NA,NA,NA,NA,2020-10-14T19:55:20Z
2,empReview_37104993, Deutsche Bank,good,Current Employee - Portfolio Associate,I have been working at Deutsche Bank full-time,i enjoy this job a lot,nothing to report. keep it up,4,4,4,3,3,NA,5,2020-10-13T16:59:15Z
2,empReview_37055379, Deutsche Bank,Great work/life balance,Former Employee - Associate Director,I worked at Deutsche Bank full-time for more than 5 years,Great place to work. Friendly people,career advancement is a bit slow,5,5,5,3,3,5,NA,2020-10-12T15:50:17Z
2,empReview_37061307, Deutsche Bank,Deutsche Bank Review,Current Employee - Risk Officer,I have been working at Deutsche Bank full-time for more than 5 years,High Base compared with other firms,"Communication within teams, management style",4,4,3,3,4,NA,3,2020-10-12T19:30:23Z
2,empReview_36907758, Deutsche Bank,not so stable company during this time,Former Employee - Vice President,I worked at Deutsche Bank full-time for more than 5 years,good number of vacation days,"will not pay for up-skill
lot of restructuring and letting people go",5,5,3,3,5,NA,2,2020-10-08T14:31:40Z
2,empReview_36882984, Deutsche Bank,DB,Current Employee - Vice President,I have been working at Deutsche Bank full-time,Good people to work with.,Limited career path with budget cuts,4,NA,NA,NA,NA,NA,NA,2020-10-08T06:11:14Z
2,empReview_37436258, Deutsche Bank,Great comp and benefits,Current Employee - Vice President,I have been working at Deutsche Bank full-time,"Great benefits, especially time off",Poor company performance resulting in spotty bonuses,3,NA,NA,NA,NA,NA,NA,2020-10-21T09:07:25Z
2,empReview_37389666, Deutsche Bank,Good first job if you’re not looking for many exit opps,Former Employee - Analyst,I worked at Deutsche Bank full-time,"Training in London 
Good financial training overall
Salary/ benefits employer math 
Good people (not mgmt)","Massive, old dinosaur of Wall Street I don’t see it being around in 5-10 years 
still lots of clean up from 2008, horrible clients mgmt, unfettered capitalistic greed 
Little mobility for younger people because people stay so long, senior positions beneath basically exec board level roles are only marginally different than middle tier",3,4,2,3,5,NA,2,2020-10-20T11:20:55Z
