page,review_id,company,review_time_raw,review_title,employee_role,employee_history,employeer_pros,employeer_cons,employeer_rating,work_life_balance,culture_values,career_opportunities,compensation_and_benefits,senior_management,diversity_inclusion
1,empReview_30863763, Deutsche Bank,Fri Dec 13 2019 23:13:03 GMT-0800 (Pacific Standard Time),investment banking analyst,Former Employee - Investment Banking Analyst,I worked at Deutsche Bank full-time,"nice people, strong balance sheet, global presence","rumors, negative news, strategic transformation",5,4,4,4,5,4,NA
1,empReview_37665191, Deutsche Bank,Tue Oct 27 2020 06:51:28 GMT-0700 (Pacific Daylight Time),Great Environment,Current Employee - IT Security Analyst,I have been working at Deutsche Bank full-time for less than a year,Great Place to work. Awesome environment and benefits,Limited opportunity for job advancement,5,NA,NA,NA,NA,NA,NA
1,empReview_37624015, Deutsche Bank,Mon Oct 26 2020 09:55:59 GMT-0700 (Pacific Daylight Time),"Excellent Training, Always Moving",Current Employee - AML Analyst,I have been working at Deutsche Bank full-time,"Good training opportunity. Deutsche Bank AFC offers excellent training for all experience levels, and welcoming mentoring.","Deutsche Bank is undergoing a heavy amount of scrutiny from regulators. It's not an issue for those who adapt to change well, and one can definitely thrive in it, but just be aware there are growing pains.",5,NA,NA,NA,NA,NA,NA
1,empReview_37595183, Deutsche Bank,Sun Oct 25 2020 15:40:10 GMT-0700 (Pacific Daylight Time),"Good People, but rigid and frustrating processes.",Current Employee - IT Director,I have been working at Deutsche Bank full-time for more than 10 years,A lot of art people with a good attitude and ideas.,Some very rigid processes that make change harder than it should be.,4,5,4,4,5,NA,4
1,empReview_37384821, Deutsche Bank,Tue Oct 20 2020 09:45:52 GMT-0700 (Pacific Daylight Time),good company,Current Employee - Financial Analyst,I have been working at Deutsche Bank full-time,"good culture, good balance of work and life","low compensation, no annual increase for many years",4,NA,NA,NA,NA,NA,NA
1,empReview_37245612, Deutsche Bank,Fri Oct 16 2020 14:36:05 GMT-0700 (Pacific Daylight Time),Great work environment,Current Employee - Technology Analyst,I have been working at Deutsche Bank full-time,"Good benefits, opportunities, diverse crowd, wfh flexibility","Salary not too competitive, infrastructure for developers can be better",4,NA,NA,NA,NA,NA,NA
1,empReview_37228024, Deutsche Bank,Fri Oct 16 2020 07:17:52 GMT-0700 (Pacific Daylight Time),Decent company,Current Employee - Assistant Vice President,I have been working at Deutsche Bank full-time for more than 3 years,Global reach and team environment.,A lot of politics and bureaucracy that causes delays.,4,4,3,3,4,NA,3
1,empReview_37241445, Deutsche Bank,Fri Oct 16 2020 12:35:23 GMT-0700 (Pacific Daylight Time),Lots of opportunity,Current Employee - Vice President,I have been working at Deutsche Bank full-time,"Entrepreneurial culture
Good people who don't try to undermine / bring others down
Smart workforce","Reputation for being involved in scandals, and being the ""bank of trump"" even though most people at the bank are not supporters. Most of the bad actors have been cleared out, so it's a matter of time for those headlines improve and the reputation to recover.",4,4,4,5,4,NA,4
1,empReview_37159714, Deutsche Bank,Wed Oct 14 2020 19:55:20 GMT-0700 (Pacific Daylight Time),Deutsche Bank- India,Former Employee - Business Analyst,I worked at Deutsche Bank full-time,"Great place to work, good work life balance",Recent top management changes and re-structuring brought negative press and brief period of un-stability,4,NA,NA,NA,NA,NA,NA
1,empReview_37104993, Deutsche Bank,Tue Oct 13 2020 16:59:15 GMT-0700 (Pacific Daylight Time),good,Current Employee - Portfolio Associate,I have been working at Deutsche Bank full-time,i enjoy this job a lot,nothing to report. keep it up,4,4,4,3,3,NA,5
