"","page","review_id","review_time_raw","review_title","employee_role","employee_history","employeer_pros","employeer_cons","employeer_rating","work_life_balance","culture_values","career_opportunities","compensation_and_benefits","senior_management","equilibre_travail_vie_privee","culture_et_valeurs","opportunites_de_carriere","remuneration_et_avantages","equipe_dirigeante"
"1","1","empReview_36373233","Fri Sep 25 2020 11:20:45 GMT-0700 (Pacific Daylight Time)","« bon »","Employé actuel - Consultante","Je travaille chez Google à temps plein","bon good bien pas de problème","rien à signaler pas de problème",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","empReview_35757860","Wed Sep 09 2020 02:17:12 GMT-0700 (Pacific Daylight Time)","« Atmosphère exceptionnel »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Projets multiples et prenant, bonne perspectives d'évolutions","Très compétitif, Nécessite d'être beaucoup impliqué",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","empReview_35698209","Mon Sep 07 2020 09:27:12 GMT-0700 (Pacific Daylight Time)","« bien »","Ancien employé - Responsable Communication","J'ai travaillé chez Google à temps plein","tickets restaurants mutuelle transports restauration","Il n'y en a quasiment pas !",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","empReview_35374617","Thu Aug 27 2020 23:53:14 GMT-0700 (Pacific Daylight Time)","« Cool »","Employé actuel - Manager","Je travaille chez Google à temps partiel","Très ouvert au travail d'équipe","Peu de responsabilités donnés concrètement",4,NA,NA,NA,NA,NA,4,4,4,4,4
"5","1","empReview_34599863","Tue Aug 04 2020 04:47:37 GMT-0700 (Pacific Daylight Time)","« Génial »","Employé actuel - Software Engineer L4","Je travaille chez Google à temps plein depuis plus de 3 ans","Bonne culture d'entreprise. Projet impactant. Collègue géniaux. Salaire.","Salaires excellents pour Paris, mais les salaires à l'étranger peuvent se montrer plus importants.",5,NA,NA,NA,NA,NA,5,5,5,5,5
"6","1","empReview_34297077","Sat Jul 18 2020 05:09:51 GMT-0700 (Pacific Daylight Time)","« Marketing Analyst »","Employé actuel - Marketing Analyst","Je travaille chez Google à temps plein depuis plus de 3 ans","Bonne ambiance ; Population jeune ; Stimulant","Charge importante ; Peu d'opportunités",4,NA,NA,NA,NA,NA,3,5,4,4,5
"7","1","empReview_33607207","Tue Jun 09 2020 11:06:36 GMT-0700 (Pacific Daylight Time)","« Correct »","Employé actuel - Ingénieur","Je travaille chez Google à temps plein","Les horaires sont vraiment libres","La pression est très importante",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","empReview_33361628","Tue May 26 2020 06:28:55 GMT-0700 (Pacific Daylight Time)","« assistante »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","convivialite de travailler chez google","lieux de travail eloigne du domicile",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","empReview_32351163","Fri Mar 13 2020 05:24:57 GMT-0700 (Pacific Daylight Time)","« Sales »","Employé actuel - Sales Specialist","Je travaille chez Google à temps plein depuis plus de 3 ans","Cloud, Public, grand entreprise , concurrent AWS et Azure","je n'ai pas noté d'inconvénient",5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"10","1","empReview_31959906","Wed Feb 19 2020 13:16:43 GMT-0800 (Pacific Standard Time)","« Top »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein plus de 3 ans","Top, super entreprise. Meilleure expérience professionnelle.","Beaucoup de reporting et trop de process par rapport au scope.",5,NA,NA,NA,NA,NA,5,5,5,5,5
"11","2","empReview_31586215","Thu Jan 30 2020 04:36:08 GMT-0800 (Pacific Standard Time)","« creation  supervisionage et corrections »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein depuis plus de 8 ans","strategies instinctives internes travail individuel et team","anglais a parfaire  specifique et social",2,NA,NA,NA,NA,NA,5,5,5,5,5
"12","2","empReview_30391481","Fri Nov 15 2019 01:28:41 GMT-0800 (Pacific Standard Time)","« Fort »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Les conditions de travail très agréables","Il n'y en a pas",5,NA,NA,NA,NA,NA,5,5,4,5,5
"13","2","empReview_29930774","Mon Oct 21 2019 08:20:49 GMT-0700 (Pacific Daylight Time)","« Environnement génial »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","Nombreux avantages (bon salaire, nourriture gratuite, massage, équipements)","Difficile à trouver à vrai dire, cloisonnement ?",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2","empReview_30412539","Sat Nov 16 2019 11:13:02 GMT-0800 (Pacific Standard Time)","« Médiocre »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","Pas tellement d’avantges que ça","Beaucoup d’inconvenient horaire chez Google",1,NA,NA,NA,NA,NA,1,1,1,1,1
"15","2","empReview_27901408","Wed Jul 10 2019 02:36:40 GMT-0700 (Pacific Daylight Time)","« à recommander »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","Très motivant, projet trop intéressents et d'actualité","Pas d'inconvénients pour le moment",2,NA,NA,NA,NA,NA,2,NA,2,2,NA
"16","2","empReview_26504319","Thu Jun 06 2019 03:00:30 GMT-0700 (Pacific Daylight Time)","« Sales Paris »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","- Bon équilibre de vie / travail
- Entreprise agile et multi culturelle
- En constante évolution, environnement très stimulant","- Organisation changeante, demande une forte capacité d'adaptation",4,NA,NA,NA,NA,NA,5,5,4,5,4
"17","2","empReview_26057966","Thu May 09 2019 06:20:08 GMT-0700 (Pacific Daylight Time)","« Une expérience enrichissante »","Employé actuel - Partner Channel Marketing Manager","Je travaille chez Google à temps plein depuis moins d'un an","- Une grande autonomie, liberté d'expression
- Bienveillance et accessibilité des collègues/managers
- Bien-être au travail : repas, sport, massage mis à disposition des employés gratuitement
- Des belles histoires à raconter, une entreprise innovante, ... 
- des équipes internationales
- un environnement et des outils de travail très ""moderne"" et flexible","- Beaucoup de sous-traitance à des agences, etc. On perd le plaisir de faire ""soi-même""
- Beaucoup de sujets stratégiques drivés par les US",5,NA,NA,NA,NA,NA,3,5,3,5,3
"18","2","empReview_25375138","Wed Mar 27 2019 10:54:31 GMT-0700 (Pacific Daylight Time)","« great »","Employé actuel - Employé anonyme","Je travaille chez Google à temps plein","talented and performing team
a real culture and great values
interest of the job
great opportunities within the company","quite a lot of pressure
long hours",4,NA,NA,NA,NA,NA,4,5,5,5,5
"19","2","empReview_24103494","Tue Jan 08 2019 04:04:48 GMT-0800 (Pacific Standard Time)","« Developpeur web »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Bons tickets resto et cultures d'entreprise","Pas de cheques vacances tant pis",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2","empReview_24326973","Tue Jan 22 2019 09:44:24 GMT-0800 (Pacific Standard Time)","« Tension liquide »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Salaires très compétitifs, comfort absolu, réputation en béton","Abscence de challenge personnel (la machine est si puissante), impact diffus, contrôle absolu de l'action de chacun (e.g. comptage du nombre de réunions).",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","3","empReview_24131780","Wed Jan 09 2019 12:37:23 GMT-0800 (Pacific Standard Time)","« avis »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps partiel","nombreux accès à de nombreuses choses","pas de gros inconvénient percue",4,NA,NA,NA,NA,NA,5,3,5,4,4
"22","3","empReview_23543696","Sat Nov 24 2018 02:40:11 GMT-0800 (Pacific Standard Time)","« Un parmi beaucoup »","Ancien employé - Partner Manager","J'ai travaillé chez Google à temps plein plus de 3 ans","Bon niveau de technologie, des collègues intéressant","Noté dans la masse, peu de liberté d'innover car la stratégie vient de Mountain View",4,NA,NA,NA,NA,NA,4,2,5,5,2
"23","3","empReview_23290235","Tue Nov 06 2018 08:36:40 GMT-0800 (Pacific Standard Time)","« Entreprise sympathique »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein","Respect
Patiente 
Écoute 
Restaurant d'entreprise","Usine vetuste, se concentrer sur son travail et rien d'autres",3,NA,NA,NA,NA,NA,2,3,3,4,4
"24","3","empReview_21675391","Fri Jul 27 2018 01:40:16 GMT-0700 (Pacific Daylight Time)","« Industry Manager »","Ancien employé - Industry Manager","J'ai travaillé chez Google à temps plein plus de 3 ans","De superbes équipes, des gens brillants avec qui il est agréable d'évoluer","Dans certains cas, un manque de connaissance ""métier"" des secteurs d'activités adressés",4,NA,NA,NA,NA,NA,4,3,4,5,5
"25","3","empReview_21644325","Wed Jul 25 2018 08:41:18 GMT-0700 (Pacific Daylight Time)","« Belle entreprise dans l'ensemble, beaucoup trop de politique »","Ancien employé - Employé anonyme","J'ai travaillé chez Google à temps plein plus de 5 ans","Tous les perks, les collègues, l'environnement, Work Hard Play Hard, la culture de l'entreprise lorsqu'elle est respectée, les possibilités d'évolution quand on y entre tôt plus difficile ensuite, possibilité d'évolution à l'étranger, l'accès à la formation, etc.","Culture pas toujours respectée, beaucoup de politiques en interne bien plus récompensée que la méritocratie, RH, fuite de certains des meilleurs éléments en externe car manque de reconnaissance ou de possibilité d'évolution et l'entreprise ne cherche pas à les retenir. Organisation de plus en plus pyramidale avec management recruté en externe, ce qui est frustrant pour beaucoup de salariés. 
Parfois, mauvais équilibre ou répartition des tâches, certains éléments sont sous pression et vont droit au burn out, tandis que d'autres sont en vitesse de croisière - - et obtiennent promotion et honneurs... Ce qui doit être commun à toute entreprise mais s'avère décevant pour celle-ci qui semble très soucieuse de son image RH.",4,NA,NA,NA,NA,NA,2,4,4,5,3
